Ad name,Text,By Day,Cost,CPC (destination),CPM,Impressions,Clicks (destination),CTR (destination),Reach,"Cost per 1,000 people reached",Video views at 25%,Video views at 50%,Conversions
stunt 2,"📢 ¡Atención, CDMX! $5000 YA están escondidos en Chapultepec 🏆 ¿Listos para la búsqueda? Las pistas están en este video… ¡El primero en encontrarlo se lo lleva! 🔍💸 #CDMX #EncuentraElTesoro #DineroEscondido #Beloz #RetoFinanciero #Chapultepec #Gana5000 #DineroExtra #Suerte #QuijoteEnChapultepec",2025-03-13,2471.4888,0.0,73.20240267279577,33762.4,0.0,0.0,18868.850000000002,130.98248170927215,7409.6,6152.499999999999,0.0
Qué harías 4 (target),🫰 ¿Qué harías con un préstamo de $750? 🫰,2025-02-19,2221.1552,3.5829707058975355,13.104185211441107,169499.68000000002,619.92,0.0036573520374787723,95041.05,23.370482544121725,22358.600000000002,9794.55,108.6
Gimnasio,¡Beloz es tu mejor aliado financiero! Tu primer préstamo de 750 pesos SIN INTERESES🥳,2025-02-18,2057.704,5.085270858046659,17.06326356235339,120592.64000000001,404.64,0.0033554286563425425,68209.05,30.167609723343165,29860.600000000002,12526.949999999999,74.39999999999999
señora gorro rosa,0,2025-02-23,1661.2992,7.210500000000001,10.377028684162395,160093.92,230.39999999999998,0.0014391552158882733,88667.15000000001,18.73635500859112,15237.2,5147.4,34.8
señora gorro rosa,0,2025-02-27,1638.4279999999999,8.752286324786324,18.316936616254214,89448.8,187.2,0.00209281734355296,49142.6,33.3402791061116,7274.3,2942.85,35.4
san valentin,Feliz día del amor y la amistad 🌷💕,2025-03-08,1566.6904,5.896907557964468,20.44625760850273,76624.8,265.68,0.0034672847433207003,41278.25,37.9543803334686,2900.7000000000003,1118.9499999999998,27.0
san valentin,Feliz día del amor y la amistad 🌷💕,2025-03-07,1483.6888,6.078698787282858,16.223405092855828,91453.6,244.07999999999998,0.002668894390160693,50272.950000000004,29.51266635437148,4420.900000000001,1613.4499999999998,25.8
señora gorro rosa,0,2025-03-06,1423.2944,5.865868776788658,12.24606417365543,116224.64000000001,242.64,0.0020876812352354883,64963.600000000006,21.909106022449492,12837.000000000002,4928.9,33.0
señora gorro rosa,0,2025-02-20,1377.2352,6.550776255707763,18.60014650684887,74044.32,210.23999999999998,0.0028393805223682245,40856.4,33.709166740094574,8718.6,3063.6,28.2
señora gorro rosa,0,2025-02-26,1376.6455999999998,8.31307729468599,17.918129641430607,76829.76000000001,165.6,0.0021554147767739998,42711.5,32.23126324292052,6783.700000000001,2480.5499999999997,31.799999999999997
san valentin,Feliz día del amor y la amistad 🌷💕,2025-03-06,1337.9168,7.492813620071685,17.35005405046508,77113.12000000001,178.56,0.002315559271885251,42433.3,31.529878656621094,4063.4000000000005,1517.9999999999998,30.599999999999998
san valentin,Feliz día del amor y la amistad 🌷💕,2025-03-04,1287.0968,8.512544973544975,17.763800896983774,72456.16,151.2,0.0020867790951107535,39501.15,32.5837804722141,2718.1000000000004,1089.05,22.8
señora gorro rosa,0,2025-03-08,1284.4744,6.006707818930042,14.114234728412317,91005.6,213.84,0.0023497455101664073,50404.9,25.483125648498458,7778.1,3062.45,29.4
señora gorro rosa,0,2025-03-09,1261.9112,5.247468396540253,11.692313736303648,107926.56000000001,240.48,0.002228181830311278,59345.0,21.26398517145505,7926.6,3024.4999999999995,27.599999999999998
señora gorro rosa,0,2025-03-07,1255.0912,5.533911816578484,11.338147465064784,110696.32,226.79999999999998,0.0020488485976769594,61573.85,20.383510207661207,11664.400000000001,4564.349999999999,27.0
labial y comida,"Beloz, tu mejor aliado financiero. ¡Solicita tu primer crédito de $750.°° con 0% de interés! #Beloz #finanzas",2024-07-09,1244.2672,3.329766645257975,12.730503594060263,97739.04000000001,373.68,0.003823241971682963,52540.8,23.68192338144832,13579.500000000002,7671.65,65.39999999999999
san valentin,Feliz día del amor y la amistad 🌷💕,2025-03-09,1235.4936,7.364649499284693,17.700887126352466,69798.40000000001,167.76,0.0024034934898221156,38544.35,32.053818523337405,2587.2000000000003,924.5999999999999,21.0
san valentin,Feliz día del amor y la amistad 🌷💕,2025-02-21,1230.5832,8.177719298245615,24.03918522732245,51190.72000000001,150.48,0.002939595301648423,27931.15,44.057734822948575,2649.9,925.7499999999999,24.0
